292;209
5;66;82;88;48;60;97
9;148;82;19;26;41;105
9;149;57;1;95;12;105
9;12;63;90;29;75;152
12;183;12;46;38;7;97
12;90;96;67;29;59;89
12;183;48;48;88;89;97
12;183;91;16;42;9;97
26;36;88;32;30;57;89
36;60;38;32;86;27;89
37;60;14;91;95;64;89
39;106;34;48;79;25;76
49;159;60;54;58;22;100
53;14;90;100;1;6;97
53;181;89;39;4;56;89
53;181;52;11;6;57;89
57;86;67;29;62;3;89
62;59;84;47;64;77;119
88;183;3;19;48;95;89
91;95;78;64;97;21;87
96;143;24;54;38;34;89
96;144;42;60;34;44;89
105;63;92;3;79;37;94
108;108;47;8;41;4;117
108;108;53;44;6;99;117
118;32;26;52;16;58;152
118;87;88;11;11;86;89
122;119;91;33;99;54;92
122;158;92;83;85;98;79
126;178;68;38;72;95;74
136;61;27;3;82;80;80
141;90;67;71;94;87;89
142;101;20;82;53;76;92
143;136;86;11;88;50;97
143;136;29;19;85;4;97
145;204;25;48;13;33;97
148;170;17;40;41;87;152
156;102;52;77;41;52;89
157;52;45;65;6;84;89
157;52;2;91;3;59;89
158;30;68;32;79;55;71
167;76;23;24;43;9;115
167;76;44;69;67;11;115
167;100;36;41;5;63;12
171;164;58;16;72;40;74
173;99;31;14;1;60;89
173;126;21;84;71;85;115
181;35;48;11;66;63;89
182;35;30;21;49;57;89
192;143;96;67;1;57;152
194;69;30;93;32;78;182
197;60;87;21;100;63;116
197;60;48;93;89;12;116
202;199;4;89;19;57;97
206;114;20;8;58;53;75
211;88;76;82;54;96;92
227;48;18;94;71;97;76
228;12;87;33;21;61;89
243;67;23;30;62;61;129
248;149;21;80;55;65;79
251;192;61;52;82;58;89
251;192;17;1;40;38;89
253;133;34;62;5;86;89
254;101;10;16;20;15;80
274;20;41;63;41;1;78
288;138;85;74;36;44;97
288;138;22;91;75;70;97
